title,type,release_year,age_certification,runtime,genre ,country,imdb_rating,imdb_votes
A Babysitter's Guide to Monster Hunting,MOVIE,2020,PG,94, fantasy ,US,5.4,4172
A Bad Moms Christmas,MOVIE,2017,R,104, comedy  ,US,5.6,49478
A Beautiful Life,MOVIE,2011,Unknown,124, drama ,HK,6.7,927
A Boy Called Christmas,MOVIE,2021,PG,106, drama ,GB,6.7,21085
A Boy Named Flora A,SHOW,2017,TV-MA,89, drama ,TW,7.9,323
A California Christmas,MOVIE,2020,PG-13,106, romance ,US,5.8,9831
A California Christmas: City Lights,MOVIE,2021,PG-13,105, comedy ,US,5.5,2231
A Call to Spy,MOVIE,2019,PG-13,123, crime ,US,6.6,7091
A Castle for Christmas,MOVIE,2021,Unknown,98, romance ,GB,5.5,11894
A Champion Heart,MOVIE,2018,G,90, family  ,US,5.9,406
A Chaster Marriage,MOVIE,2016,PG-13,93, comedy ,TR,5.4,874
A Choo,MOVIE,2020,Unknown,101, romance ,TW,5.5,378
A Christmas Prince,MOVIE,2017,PG,92, romance ,US,5.7,19514
A Christmas Prince: The Royal Baby,MOVIE,2019,Unknown,84, romance ,US,5.4,6764
A Christmas Prince: The Royal Wedding,MOVIE,2018,PG,92, romance ,US,5.3,10698
A Cinderella Story: Christmas Wish,MOVIE,2019,PG,93, music ,US,5.3,Unknown
A Classic Horror Story,MOVIE,2021,Unknown,95, horror ,IT,Unknown,Unknown
A Cop Movie,MOVIE,2021,R,107, drama ,MX,7,1739
A Drowning Man,MOVIE,2017,Unknown,15, drama  ,GB,Unknown,Unknown
A Fairly Odd Summer,MOVIE,2014,G,66, fantasy ,US,3.8,564
A Fall from Grace,MOVIE,2020,Unknown,120, thriller ,US,5.8,15341
A Family,MOVIE,2021,R,136, crime ,JP,7,2268
A Family Reunion Christmas,MOVIE,2019,Unknown,29, comedy ,US,5.8,219
A Faraway Land,MOVIE,2021,Unknown,101, drama  ,PH,5,136
A Farewell to Ozark,MOVIE,2022,R,31, documentation  ,US,Unknown,Unknown
A Fortunate Man,MOVIE,2018,Unknown,162, drama ,DK,7.2,6194
A Futile and Stupid Gesture,MOVIE,2018,Unknown,101, comedy  ,US,6.7,16158
A Go! Go! Cory Carson Christmas,MOVIE,2020,Unknown,21, animation ,US,6.1,50
A Go! Go! Cory Carson Halloween,MOVIE,2020,G,21, animation ,Unknown,6.4,51
A Go! Go! Cory Carson Summer Camp,MOVIE,2020,Unknown,20, animation  ,US,Unknown,Unknown
A Home with a View,MOVIE,2019,Unknown,92, comedy ,HK,5.9,301
A House of Blocks,SHOW,2017,TV-MA,85, drama ,TW,2.3,137
A Kid from Coney Island,MOVIE,2019,Unknown,89, documentation ,US,7,554
A Korean Odyssey,SHOW,2017,TV-MA,75, comedy ,KR,8,4695
A Land Imagined,MOVIE,2019,Unknown,95, thriller ,FR,6.2,1297
A Life of Speed: The Juan Manuel Fangio Story,MOVIE,2020,Unknown,92, documentation ,AR,6.9,1854
A Lion in the House,SHOW,2006,TV-14,190, documentation  ,US,Unknown,Unknown
A Little Help with Carol Burnett,SHOW,2018,TV-G,24,Unknown,US,6.3,237
A Little Thing Called First Love,SHOW,2019,Unknown,45, comedy ,CN,7.9,387
A Love So Beautiful,SHOW,2017,TV-14,41, comedy ,CN,8,1420
