title,type,release_year,age_certification,runtime,genre ,country,imdb_rating,imdb_votes
Born Racer,MOVIE,2018,R,88, action ,NZ,6.1,262
Borrego,MOVIE,2022,R,102, crime ,US,5.7,4122
Boss,MOVIE,2013,PG-13,143, comedy ,IN,5.1,11159
Boss & Me,SHOW,2014,TV-PG,45, comedy ,CN,7.3,456
Bosta,MOVIE,2005,Unknown,112, war  ,Lebanon,6.4,605
Bottersnikes & Gumbles,SHOW,2016,TV-Y7,13, action ,GB,5.2,48
Boyka: Undisputed IV,MOVIE,2016,R,87, action ,BG,Unknown,Unknown
Boys Over Flowers,SHOW,2009,TV-14,64, comedy ,KR,7.9,11902
Brad Paisley's Comedy Rodeo,MOVIE,2017,Unknown,63, comedy  ,US,5.7,155
Brahman Naman,MOVIE,2016,Unknown,94, comedy  ,IN,5.5,1901
Brahms: The Boy II,MOVIE,2020,PG-13,86, thriller ,CN,4.7,17048
Brain on Fire,MOVIE,2017,PG-13,88, drama ,CA,6.6,21444
Brainchild,SHOW,2018,TV-Y7,24, documentation ,US,7.9,425
Brand New Cherry Flavor,SHOW,2021,TV-MA,43, thriller ,US,7.1,15028
Brave Animated Series,SHOW,2021,TV-MA,26, action ,TW,7,6
Brave Blue World,MOVIE,2019,Unknown,50, documentation  ,CA,6.7,791
Brazen,MOVIE,2022,Unknown,94, thriller ,US,4.1,11753
Bread Barbershop,SHOW,2020,TV-Y,11, animation  ,KR,7.4,132
Breaded Life,MOVIE,2021,Unknown,120, comedy ,NG,7.7,65
Break,MOVIE,2018,Unknown,91, drama ,FR,5.7,1177
BREAK IT ALL: The History of Rock in Latin America,SHOW,2020,TV-MA,50, documentation ,AR,7.6,1230
Break Ke Baad,MOVIE,2010,Unknown,120, comedy ,IN,5.1,4275
"Breakfast, Lunch & Dinner",SHOW,2019,TV-MA,44, documentation  ,US,6.7,1066
Breaking Bad,SHOW,2008,TV-MA,48, drama ,US,9.5,1775990
Breaking Boundaries: The Science of Our Planet,MOVIE,2021,Unknown,73, documentation  ,US,7.8,2663
Breaking the Bank,MOVIE,2016,Unknown,106, comedy  ,GB,4.8,939
Breakout,SHOW,2010,TV-14,44, drama ,SG,6.7,7
Bren?? Brown: The Call to Courage,MOVIE,2019,Unknown,76, documentation ,US,7.7,1552
Brent Morin: I'm Brent Morin,MOVIE,2015,Unknown,67, comedy  ,US,6.5,691
Brews Brothers,SHOW,2020,TV-MA,28, comedy ,US,5.1,1966
Brian Regan: Nunchucks and Flamethrowers,MOVIE,2017,Unknown,61, comedy ,US,6.3,681
Brian Regan: On the Rocks,MOVIE,2021,Unknown,58, comedy  ,US,6.8,619
Bride for Rent,MOVIE,2014,Unknown,115, romance ,PH,6.4,601
Bridezilla,MOVIE,2019,Unknown,93, romance ,ID,6.1,53
Bridgerton,SHOW,2020,TV-MA,62, drama ,US,7.3,129085
Bridgerton - The Afterparty,MOVIE,2021,Unknown,38,Unknown,US,Unknown,Unknown
Bright,MOVIE,2017,R,117, fantasy ,US,6.3,185996
Bright: Samurai Soul,MOVIE,2021,PG-13,80, fantasy ,JP,5.5,830
Brij Mohan Amar Rahe!,MOVIE,2018,Unknown,100, comedy ,IN,6.9,3783
Britney vs. Spears,MOVIE,2021,Unknown,93, documentation ,US,6.4,6924
Broken,SHOW,2019,Unknown,60, documentation  ,US,Unknown,Unknown
Broken Idol: The Undoing of Diomedes D??az,MOVIE,2022,R,102, documentation ,CO,6.3,178
Brother,MOVIE,2019,Unknown,96, drama ,FR,6.7,1066
Brother in Love,MOVIE,2019,Unknown,115, comedy ,TR,7,6337
Brother in Love 2,MOVIE,2021,Unknown,118, comedy  ,TR,6.5,2328
Brother Jekwu,MOVIE,2016,Unknown,103, comedy ,NG,Unknown,Unknown
Brotherhood,SHOW,2019,TV-MA,51, drama ,BR,7.5,1356
Brothers,MOVIE,2015,PG-13,156, family ,IN,6.4,13003
Brother's Shadow,MOVIE,2006,Unknown,91, drama  ,US,6.1,152
Bruised,MOVIE,2021,R,129, drama ,GB,6.1,14293
Bruna Louise: Demolition,MOVIE,2022,Unknown,65, comedy ,BR,4.5,51
Bubble,MOVIE,2022,PG,101, scifi ,JP,6.3,4597
Budapest,MOVIE,2018,R,102, comedy ,FR,5.4,2952
Buddi,SHOW,2020,TV-Y,10, family ,US,7.2,58
Buddies,MOVIE,2013,Unknown,94, drama ,BR,6.5,1082
Buddy Thunderstruck,SHOW,2017,TV-Y7,23, comedy ,US,7.7,495
Buddy Thunderstruck: The Maybe Pile,MOVIE,2017,Unknown,13, comedy  ,US,Unknown,Unknown
Budhia Singh: Born to Run,MOVIE,2016,Unknown,112, drama ,IN,7.6,1503
Bulbbul,MOVIE,2020,Unknown,94, fantasy ,IN,6.5,11844
Bulbul Can Sing,MOVIE,2019,Unknown,95, drama  ,IN,7,390
Bulgasal: Immortal Souls,SHOW,2021,TV-MA,71, scifi ,KR,7.3,2063
Bullet Head,MOVIE,2017,R,94, thriller ,US,5.4,10149
Bulletproof 2,MOVIE,2020,Unknown,97, action ,US,3.5,615
Bullsh*t the Game Show,SHOW,2022,TV-14,0, reality  ,US,6.1,750
Bully,MOVIE,2011,PG-13,92, drama ,US,7.4,10266
Bumping Mics with Jeff Ross & Dave Attell,SHOW,2018,TV-MA,36, comedy  ,US,7.7,1167
BUNK'D,SHOW,2015,TV-G,24, comedy ,US,5.3,3287
Buried by the Bernards,SHOW,2021,TV-14,25, reality  ,US,7.2,350
Burn Out,MOVIE,2018,Unknown,107, thriller ,FR,6.2,3803
Burning Cane,MOVIE,2019,Unknown,77, drama  ,US,5.5,633
Burning Sands,MOVIE,2017,Unknown,105, drama ,US,6,2854
Business Proposal,SHOW,2022,TV-14,61, drama ,KR,8.1,7806
Busted!,SHOW,2018,TV-14,75, thriller ,KR,7.6,912
Buster's Mal Heart,MOVIE,2017,Unknown,96, drama ,US,6.2,10490
BuyBust,MOVIE,2018,Unknown,127, thriller ,PH,5.7,1902
Bwakaw,MOVIE,2012,Unknown,104, drama  ,PH,7.1,301
By the Sea,MOVIE,2015,R,122, drama ,US,5.3,20541
Bygones Be Bygones,MOVIE,2017,PG-13,103, comedy  ,TR,6.2,4054
Bypass Road,MOVIE,2019,Unknown,137, thriller ,IN,5.4,1022
Byron Baes,SHOW,2022,TV-MA,39, reality  ,AU,2.6,498
C Kkompany,MOVIE,2008,Unknown,130, comedy ,IN,5.5,1136
C/O Kaadhal,MOVIE,2021,Unknown,134, drama  ,Unknown,7.7,348
C/o Kancharapalem,MOVIE,2018,PG,152, drama  ,IN,8.9,6842
Cable Girls,SHOW,2017,TV-MA,46, drama ,ES,7.6,13855
Cadaver,MOVIE,2020,Unknown,86, thriller ,FI,5.1,9860
Caf?? Minamdang,SHOW,2022,Unknown,64, drama ,KR,7,131
Cagaster of an Insect Cage,SHOW,2020,TV-14,28, drama ,JP,Unknown,Unknown
"Cairo 6,7,8",MOVIE,2010,Unknown,100, drama  ,EG,7.4,4421
Cairo Station,MOVIE,1958,Unknown,77, drama ,EG,7.5,4471
Cairo's Class,SHOW,2019,TV-14,33, drama  ,KW,Unknown,Unknown
Calibre,MOVIE,2018,Unknown,101, thriller ,GB,6.8,28788
Caliphate,SHOW,2020,TV-MA,48, drama ,SE,8.2,18134
Call My Agent Bollywood,SHOW,2021,TV-MA,48, comedy ,IN,6.9,6201
Call My Agent!,SHOW,2015,TV-MA,55, comedy ,FR,8.3,14061
Call the Midwife,SHOW,2012,TV-PG,55, family ,GB,8.5,26146
Calm with Horses,MOVIE,2020,Unknown,100, crime ,IE,6.8,5649
Calum von Moger: Unbroken,MOVIE,2019,Unknown,93, documentation  ,US,6.2,851
Cam,MOVIE,2018,Unknown,95, thriller ,US,5.9,31542
Camar??n Revolution,SHOW,2018,TV-14,52, documentation ,ES,Unknown,Unknown
Camar??n: The Film,MOVIE,2018,Unknown,104, documentation  ,ES,7.5,307
Camp Confidential: America's Secret Nazis,MOVIE,2021,PG-13,34, documentation ,US,6.3,Unknown
Can You Hear Me?,SHOW,2019,TV-MA,23, comedy ,CA,7.6,697
Can You Keep a Secret?,MOVIE,2019,Unknown,94, romance ,US,5.3,16421
Candy Jar,MOVIE,2018,PG-13,92, comedy  ,US,5.8,5048
Canine Intervention,SHOW,2021,TV-14,36, documentation ,US,6.5,892
Cannon Busters,SHOW,2019,TV-MA,24, scifi ,US,6.6,1200
Can't Help Falling in Love,MOVIE,2017,Unknown,119, romance ,PH,6.9,902
"Can't Stop, Won't Stop: A Bad Boy Story",MOVIE,2017,R,80, music ,US,5.3,735
Canvas,MOVIE,2020,G,9, animation ,US,Unknown,Unknown
Capitani,SHOW,2019,TV-MA,29, crime ,LU,6.6,4912
Captain Nova,MOVIE,2021,Unknown,86, action ,NL,5.5,1391
Captain Underpants: Epic Choice-o-rama,MOVIE,2020,Unknown,37, comedy ,US,6.4,80
Captain Underpants: Mega Blissmas,MOVIE,2020,G,46, animation ,US,5.2,160
Captive,SHOW,2016,Unknown,63, documentation ,US,6.8,742
Car Masters: Rust to Riches,SHOW,2018,TV-PG,37, reality  ,US,8.4,10058
Carbone,MOVIE,2017,Unknown,104, thriller ,BE,6.5,2587
Cardcaptor Sakura,SHOW,1998,TV-Y7,25, scifi ,JP,8,5008
Care Bears and Cousins,SHOW,2015,TV-Y,22, animation  ,US,6.8,83
Cargo,MOVIE,2017,Unknown,105, drama ,AU,6.3,43232
Cargo,MOVIE,2019,PG-13,113, fantasy ,IN,5.6,2929
Carlos Almaraz: Playing with Fire,MOVIE,2019,Unknown,82, documentation  ,US,7.5,62
Carlos Ballarta: el amor es de putos,MOVIE,2016,Unknown,67, comedy  ,MX,7,235
Carlos Ballarta: False Prophet,MOVIE,2021,Unknown,63, comedy  ,MX,6.7,132
Carlos Ballarta: furia ??era,MOVIE,2018,Unknown,62, comedy  ,MX,7.2,213
Carmel: Who Killed Maria Marta?,SHOW,2020,TV-14,58, documentation ,AR,7,2463
Carmen Sandiego,SHOW,2019,TV-Y7,25, animation ,US,7.9,5744
Carmen Sandiego: To Steal or Not to Steal,MOVIE,2020,Unknown,31, animation ,CA,Unknown,Unknown
Carnaval,MOVIE,2021,Unknown,94, comedy  ,BR,4,914
Carole & Tuesday,SHOW,2019,TV-PG,24, scifi ,JP,7.8,2038
Carolin Kebekus: The Last Christmas Special,MOVIE,2021,Unknown,66, comedy  ,Unknown,4.7,98
Carrie Pilby,MOVIE,2017,Unknown,98, drama ,US,6.6,11694
Case,SHOW,2015,Unknown,46, drama ,IS,7,2755
Casino Royale,MOVIE,2006,Unknown,144, action ,DE,8,649676
Casting JonBenet,MOVIE,2017,Unknown,81, documentation ,US,6.1,5426
Castle and Castle,SHOW,2018,TV-MA,54, drama  ,NG,Unknown,Unknown
Castlevania,SHOW,2017,TV-MA,26, animation ,US,8.3,62722
Cat Burglar,MOVIE,2022,PG-13,12, animation ,IE,6.9,Unknown
Cat People,SHOW,2021,TV-14,32, documentation  ,US,6.3,282
Catch and Release,MOVIE,2006,PG-13,111, drama ,US,5.9,26528
Catch Me If You Can,MOVIE,2002,PG-13,141, drama ,US,8.1,952602
Catch! Teenieping,SHOW,2020,TV-Y,12,Unknown,KR,Unknown,Unknown
Catch.er,MOVIE,2017,Unknown,81, crime ,NG,4.5,30
Catching Feelings,MOVIE,2017,Unknown,115, romance ,ZA,5.8,552
Catching Killers,SHOW,2021,TV-MA,41, crime ,US,7.1,3250
Catfight,MOVIE,2017,Unknown,96, comedy ,US,5.9,6323
Cathedral of the Sea,SHOW,2018,TV-MA,57, drama ,ES,7.4,4450
Caught by a Wave,MOVIE,2021,Unknown,99, romance ,IT,5.7,1289
CBI 5: The Brain,MOVIE,2022,Unknown,163, thriller ,IN,6.3,1394
Cedric the Entertainer: Live from the Ville,MOVIE,2016,Unknown,60, comedy  ,US,6.2,696
Celeb Five: Behind the Curtain,MOVIE,2022,Unknown,55, comedy ,KR,4.7,29
Cells at Work!,SHOW,2018,TV-14,23, comedy ,JP,7.5,2270
Cem Y??lmaz: Diamond Elite Platinum Plus,MOVIE,2021,Unknown,94, comedy  ,TR,6.6,7921
Cemara's Family,MOVIE,2019,Unknown,110, family ,ID,7.7,787
Centauro,MOVIE,2022,Unknown,89, action ,Unknown,Unknown,Unknown
Centaurworld,SHOW,2021,TV-Y7,29, scifi ,US,7.6,2045
Chadi Jawani Budhe Nu,MOVIE,1976,Unknown,135, romance  ,IN,4.6,14
Challenger: The Final Flight,SHOW,2020,TV-14,45, documentation ,US,7.8,6927
Chalte Chalte,MOVIE,2003,PG-13,167, drama ,IN,6.5,15468
Chaman Bahar,MOVIE,2020,Unknown,111, drama ,IN,6.9,6926
Chambers,SHOW,2019,TV-MA,44, drama ,US,6.4,8455
Champions,SHOW,2018,TV-PG,21, comedy  ,US,6,3890
Chance Pe Dance,MOVIE,2010,G,121, drama ,IN,4.8,2979
Chandigarh Kare Aashiqui,MOVIE,2021,Unknown,117, romance ,IN,6.8,13203
Change Days,SHOW,2021,TV-PG,64, reality  ,KR,Unknown,Unknown
Chaos,MOVIE,2005,R,106, crime ,CA,6.4,54900
"Chaos, Disorder",MOVIE,2012,Unknown,76, drama ,EG,6.2,109
Chappelle's Home Team - Earthquake: Legendary,MOVIE,2022,R,36, comedy  ,Unknown,6.9,588
Chappelle's Show,SHOW,2003,TV-14,21, comedy ,US,8.8,63107
Chappie,MOVIE,2015,R,120, crime ,MX,6.8,249345
Charlie Says,MOVIE,2019,R,104, drama ,US,5.9,4474
Charlie's Colorforms City,SHOW,2019,TV-Y,23, animation ,US,6.7,154
Charmed,SHOW,2018,TV-14,40, drama ,US,4.6,16533
Charming,MOVIE,2018,Unknown,90, comedy ,US,5.6,3518
Chashme Baddoor,MOVIE,2013,Unknown,120, comedy ,IN,5.4,5148
Chasing Cameron,SHOW,2016,TV-PG,28, reality  ,US,3.5,500
Chasing Coral,MOVIE,2017,Unknown,93, documentation  ,US,8.1,5188
"Chat??, The King of Brazil",MOVIE,2015,Unknown,100, drama ,BR,5.4,19
Check The Store Next Door,SHOW,2018,TV-14,30, comedy ,ID,7.7,138
Cheer,SHOW,2020,TV-MA,56, documentation ,US,8.1,6271
Cheer Squad,SHOW,2016,TV-PG,42, reality  ,CA,7.2,167
Chef's Table,SHOW,2015,TV-MA,50, documentation  ,US,8.5,15352
Chef's Table: BBQ,SHOW,2020,TV-14,44, documentation  ,US,7.8,1006
Chef's Table: France,SHOW,2016,TV-14,46, documentation  ,US,8.2,1734
Chelsea,SHOW,2016,TV-MA,52, comedy  ,US,6,2072
Chelsea Does,SHOW,2016,TV-MA,70, documentation  ,US,7.3,2476
Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,2014,Unknown,71, comedy  ,US,5.8,1179
Chennai Express,MOVIE,2013,PG-13,141, romance ,IN,6,53939
Chhota Bheem,SHOW,2008,Unknown,22, animation ,IN,4.1,885
Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,G,66, animation ,IN,8.7,13
Chhota Bheem & Krishna vs Zimbara,MOVIE,2013,G,64, animation  ,Unknown,9.1,16
Chhota Bheem & Krishna: Pataliputra- City of the Dead,MOVIE,2010,G,65, animation  ,IN,Unknown,Unknown
Chhota Bheem and the Broken Amulet,MOVIE,2012,Unknown,63, animation  ,IN,7.7,17
Chhota Bheem and the ShiNobi Secret,MOVIE,2013,G,63, animation  ,IN,8.6,6
Chhota Bheem Aur Hanuman,MOVIE,2013,G,67, animation ,IN,7.3,36
Chhota Bheem Aur Krishna,MOVIE,2008,G,69, fantasy ,IN,6.4,327
Chhota Bheem Dus pe Dus,MOVIE,2014,G,62, animation  ,XX,5.1,23
Chhota Bheem in African Safari,MOVIE,2015,Unknown,62, animation  ,Unknown,6.5,12
Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,G,70, animation  ,XX,7.9,50
Chhota Bheem in the Incan Adventure,MOVIE,2013,G,64, fantasy ,XX,7.5,32
Chhota Bheem Ka Roosi Romanch,MOVIE,2019,G,62, animation  ,Unknown,Unknown,Unknown
Chhota Bheem Master of Shaolin,MOVIE,2011,G,75, animation  ,Unknown,6.1,128
Chhota Bheem Neeli Pahaadi,MOVIE,2013,G,63, animation  ,Unknown,8.7,10
Chhota Bheem the Crown of Valhalla,MOVIE,2013,Unknown,64, animation  ,Unknown,7.6,15
Chhota Bheem: Journey to Petra,MOVIE,2011,G,67, animation  ,IN,Unknown,Unknown
Chicago Party Aunt,SHOW,2021,TV-MA,23, animation ,US,5.3,1488
Chicken Soup for the Soul's Being Dad,SHOW,2018,TV-PG,40, reality  ,Unknown,Unknown,Unknown
Chickenhare and the Hamster of Darkness,MOVIE,2022,Unknown,91, animation ,BE,6.3,1303
Chico Bon Bon and the Very Berry Holiday,MOVIE,2020,G,25, animation ,Unknown,5.7,39
Chico Bon Bon: Monkey with a Tool Belt,SHOW,2020,Unknown,14, animation  ,US,Unknown,Unknown
Chief Daddy,MOVIE,2018,Unknown,98, drama ,NG,4.7,283
Chief Daddy 2: Going for Broke,MOVIE,2021,Unknown,112, comedy  ,NG,3,144
Chief of Staff,SHOW,2019,Unknown,66, drama ,KR,Unknown,Unknown
Child of Kamiari Month,MOVIE,2021,Unknown,99, fantasy ,JP,5.8,751
Children of Adam,SHOW,2020,TV-14,40, drama ,LB,7.7,186
Children of God,MOVIE,1994,Unknown,63, documentation  ,GB,6.3,612
Children of Shatila,MOVIE,1999,Unknown,50, documentation ,LB,8.1,78
Children of the Sea,MOVIE,2019,Unknown,110, thriller ,JP,6.5,2850
Children of the Whales,SHOW,2017,TV-14,24, scifi ,JP,7,1551
Chillar Party,MOVIE,2011,G,130, comedy ,IN,7.5,7831
Chilling Adventures of Sabrina,SHOW,2018,TV-14,57, thriller ,US,7.4,91958
Chip and Potato,SHOW,2018,TV-Y,17, animation  ,US,6.3,158
Chip and Potato: Chip's Holiday,MOVIE,2022,Unknown,24, family ,CA,Unknown,Unknown
Chippa,MOVIE,2019,G,90, drama  ,IN,6.5,1103
CHiPS,MOVIE,2017,R,100, action ,US,6,46783
Chocolate,SHOW,2019,Unknown,55, drama  ,KR,Unknown,Unknown
Chocolate City: Vegas Strip,MOVIE,2016,PG-13,89, drama  ,US,3.7,303
Choked: Paisa Bolta Hai,MOVIE,2020,Unknown,114, thriller ,IN,5.7,5380
Choose or Die,MOVIE,2022,Unknown,85, scifi ,GB,4.7,18307
Chopsticks,MOVIE,2019,Unknown,100, comedy ,IN,6.5,4729
Chosen,SHOW,2018,TV-14,71, action  ,CN,5.2,127
Chosen,SHOW,2022,TV-MA,41, scifi ,DK,4.3,1246
Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,2012,G,65, animation  ,IN,7.8,13
Chris D'Elia: Incorrigible,MOVIE,2015,R,83, comedy ,US,6.4,1540
Chris D'Elia: Man on Fire,MOVIE,2017,Unknown,65, comedy ,US,6.5,1729
Chris D'Elia: No Pain,MOVIE,2020,Unknown,55, comedy  ,US,5.9,1789
Chris Distefano: Speshy Weshy,MOVIE,2022,Unknown,36, comedy  ,Unknown,6.4,437
Chris Rock Total Blackout: The Tamborine Extended Cut,MOVIE,2021,PG-13,97, comedy  ,Unknown,7.1,341
Chris Rock: Tamborine,MOVIE,2018,Unknown,64, comedy ,US,6.6,6982
Chris Tucker: Live,MOVIE,2015,Unknown,92, comedy ,US,6.3,1955
Christina P: Mom Genes,MOVIE,2022,Unknown,62, comedy ,Unknown,5.8,605
Christina P: Mother Inferior,MOVIE,2017,Unknown,59, comedy  ,US,6.4,1001
Christine,MOVIE,1983,R,110, horror ,US,6.7,81922
Christine,MOVIE,2016,R,123, drama  ,US,6.9,15146
Christmas Catch,MOVIE,2018,Unknown,80, romance ,CA,5.3,1439
Christmas Crossfire,MOVIE,2020,Unknown,106, thriller ,DE,4.8,1373
Christmas Flow,SHOW,2021,TV-MA,50, romance ,FR,5.7,728
Christmas in the Heartland,MOVIE,2017,Unknown,90, family  ,US,5.8,1435
Christmas Inheritance,MOVIE,2017,Unknown,105, romance ,US,5.7,11720
Christmas Wedding Planner,MOVIE,2017,PG,86, romance  ,CA,4.3,5978
Christmas with a Prince,MOVIE,2018,Unknown,90, drama ,CA,5.2,1643
Christmas with a View,MOVIE,2018,Unknown,90, romance ,CA,5.1,4574
Christmas with the Kranks,MOVIE,2004,PG,99, comedy ,US,5.4,49302
Chronically Metropolitan,MOVIE,2016,Unknown,86, comedy ,US,4.9,1525
Chronicle of a Disappearance,MOVIE,1996,Unknown,88, drama  ,PS,6.9,733
Chup Chup Ke,MOVIE,2006,G,165, comedy ,IN,6.9,10810
CIA: Comrade In America,MOVIE,2017,Unknown,134, action ,IN,6.4,3088
Cinderela Pop,MOVIE,2019,Unknown,94, romance ,BR,4.5,1061
Cinderella and Four Knights,SHOW,2016,TV-PG,61, drama ,KR,7.4,3943
Cinema Bandi,MOVIE,2021,Unknown,98, drama ,IN,7.9,2488
Circle,MOVIE,2015,Unknown,87, thriller ,US,6,52925
Circus of Books,MOVIE,2019,Unknown,92, documentation ,US,7.1,4624
Citation,MOVIE,2020,Unknown,151, thriller ,NG,6.1,970
Cities of Last Things,MOVIE,2018,Unknown,106, drama ,CN,6.2,1669
City of Ghosts,SHOW,2021,TV-Y7,19, animation ,FR,6.1,10
City of God: 10 Years Later,MOVIE,2013,PG,69, documentation  ,BR,6.4,1322
City of Joy,MOVIE,2016,Unknown,74, documentation ,CD,7.5,525
Civil: Ben Crump,MOVIE,2022,PG-13,101, documentation  ,Unknown,5.4,170
Clair Obscur,MOVIE,2017,Unknown,100, drama ,TR,6.5,2468
Clark,SHOW,2022,TV-MA,61, thriller ,SE,7.4,7958
Clash,MOVIE,2021,Unknown,88, family ,NG,6.1,34
Class of '83,MOVIE,2020,Unknown,98, drama ,IN,5.8,5628
Classmates Minus,MOVIE,2020,R,122, drama ,TW,7.1,1625
Clean with Passion for Now,SHOW,2018,TV-MA,60, comedy ,KR,6.9,1472
Cleaner,MOVIE,2007,R,88, thriller ,US,6.1,42285
Cleo & Cuquin,SHOW,2018,TV-Y,7, animation ,ES,8.1,98
Clickbait,SHOW,2021,TV-MA,46, crime ,US,7.2,51476
Cliffhanger,MOVIE,1993,R,112, action ,IT,6.5,128972
Clinical,MOVIE,2017,Unknown,104, thriller ,US,5.1,8030
Clive Davis: The Soundtrack of Our Lives,MOVIE,2017,PG-13,123, documentation ,US,7.4,991
Close,MOVIE,2019,R,95, action ,US,5.7,24755
Close Enemies,MOVIE,2018,Unknown,111, thriller ,FR,6.4,2629
Close Your Eyes Before It's Dark,SHOW,2016,TV-14,84, thriller ,TW,7,229
Closet Monster,MOVIE,2016,Unknown,90, drama ,CA,7,8239
Cloudy with a Chance of Meatballs,MOVIE,2009,PG,90, animation ,US,6.9,229274
Cloudy with a Chance of Meatballs,SHOW,2017,TV-Y7,11, action ,CA,3.4,750
Cloudy with a Chance of Meatballs 2,MOVIE,2013,PG,95, animation ,US,6.3,102071
Club de Cuervos,SHOW,2015,TV-MA,46, drama ,MX,8.2,5586
Club de Cuervos Presents: The Ballad of Hugo S??nchez,SHOW,2018,TV-MA,33, comedy ,MX,6.5,824
Coach Snoop,SHOW,2016,TV-MA,29, documentation  ,US,6.7,590
Cobalt Blue,MOVIE,2022,Unknown,112, romance ,IN,6.6,1531
Cobra Kai,SHOW,2018,TV-14,31, action ,US,8.5,166830
Cobra Kai - The Afterparty,MOVIE,2021,Unknown,34,Unknown,US,Unknown,Unknown
Cocaine,SHOW,2005,TV-14,49, documentation ,US,7.1,61
Cocaine Cowboys: The Kings of Miami,SHOW,2021,TV-MA,57, documentation ,Unknown,7.1,2699
Coco y Raulito: Carrusel de ternura,MOVIE,2018,PG-13,56, comedy  ,MX,6.6,40
Cocomelon,SHOW,2018,TV-PG,6, animation ,US,4.7,570
Cocomong,SHOW,2008,TV-Y,13, animation  ,Unknown,5.6,11
Code 8,MOVIE,2019,Unknown,99, scifi ,CA,6.1,39469
Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24, scifi ,JP,8.7,62367
Code Lyoko,SHOW,2003,TV-G,24, action ,FR,7.3,5165
Coded Bias,MOVIE,2020,Unknown,86, documentation  ,US,6.7,2311
Coffee & Kareem,MOVIE,2020,Unknown,88, crime ,US,5.1,13535
Coffee for All,MOVIE,2017,Unknown,69, documentation ,AR,5.6,398
Coin Heist,MOVIE,2017,PG,97, family ,US,4.7,2743
Cold Case Files,SHOW,2017,TV-14,42, crime ,US,7.9,1292
Cold Harbour,MOVIE,2014,Unknown,76, thriller ,ZA,5.2,215
Colin in Black & White,SHOW,2021,TV-14,32, drama ,US,5.5,7282
"Colin Quinn: Red State, Blue State",MOVIE,2019,Unknown,65, comedy  ,US,7.6,727
Colin Quinn: The New York Story,MOVIE,2016,Unknown,62, comedy  ,US,6.9,1001
Colin Quinn: Unconstitutional,MOVIE,2015,Unknown,55, comedy  ,US,7.1,478
Collateral,SHOW,2018,TV-MA,57, thriller ,GB,6.7,17774
Collateral Beauty,MOVIE,2016,PG-13,97, romance ,US,6.7,99712
Collision,MOVIE,2022,Unknown,99, drama ,ZA,3.9,886
Come Sunday,MOVIE,2018,Unknown,106, drama  ,US,6,2307
Comedian,MOVIE,2002,R,82, comedy ,US,6.9,6985
Comedians in Cars Getting Coffee,SHOW,2012,TV-14,19, comedy ,US,8,12522
COMEDIANS of the world,SHOW,2019,TV-MA,30, comedy  ,Unknown,6.5,450
Coming Forth by Day,MOVIE,2012,Unknown,96, drama  ,EG,6.5,234
Coming Home in the Dark,MOVIE,2021,Unknown,93, thriller ,NZ,5.7,5114
Coming Out Colton,SHOW,2021,TV-MA,33, reality  ,US,6.7,1142
Coming Soon,MOVIE,2014,PG,134, romance ,TR,7.3,34137
Community,SHOW,2009,TV-PG,23, comedy  ,US,8.5,257221
Concrete Cowboy,MOVIE,2020,R,111, western ,US,6.3,8660
Condom Lead,MOVIE,2013,Unknown,15, drama  ,PS,Unknown,Unknown
Confessions of an Invisible Girl,MOVIE,2021,Unknown,91, comedy ,BR,5.2,1051
Confusion Na Wa,MOVIE,2013,Unknown,105, crime ,NG,7,38
Connected,MOVIE,2008,Unknown,110, thriller ,CN,6.6,2291
Connected,SHOW,2020,TV-14,44, documentation ,US,7.5,1724
Connected,MOVIE,2021,Unknown,42,Unknown,Unknown,Unknown,Unknown
Conspiracy,SHOW,2015,TV-14,43, history ,GB,6.2,379
Contagion,MOVIE,2011,PG-13,106, drama ,AE,6.8,301531
Contraband,MOVIE,2012,R,109, action ,FR,6.4,122383
Control Z,SHOW,2020,TV-MA,38, drama ,MX,6.9,8895
Convergence: Courage in a Crisis,MOVIE,2021,R,113, documentation  ,GB,5.4,262
Conversations with a Killer: The John Wayne Gacy Tapes,SHOW,2022,TV-MA,61, documentation ,US,7.1,6665
Conversations with a Killer: The Ted Bundy Tapes,SHOW,2019,TV-MA,59, documentation ,US,7.8,27439
Cook Off,MOVIE,2017,PG,116, romance ,ZW,6,354
Cooked,SHOW,2016,TV-PG,53, documentation  ,US,7.6,43
Cooked With Cannabis,SHOW,2020,TV-MA,35, reality  ,US,6.6,351
Cooking With Paris,SHOW,2021,TV-MA,23, reality  ,US,5.2,1078
Cop Out,MOVIE,2010,R,107, crime ,US,5.5,88026
Copenhagen,MOVIE,2014,Unknown,98, drama ,DK,7,13233
Cops and Robbers,MOVIE,2020,PG-13,8, animation  ,US,6.9,Unknown
"Coronavirus, Explained",SHOW,2020,TV-PG,23, documentation  ,US,7.6,2254
Cosmic Sin,MOVIE,2021,R,88, action ,US,2.5,12517
Cosmos Laundromat,MOVIE,2015,Unknown,12, animation ,NL,Unknown,Unknown
Count Me In,MOVIE,2021,Unknown,81, documentation ,Unknown,6.8,1805
Countdown,MOVIE,2019,PG-13,90, horror ,US,Unknown,Unknown
